Date,Open,High,Low,Close,Volume
2020-05-27,70.8625,71.087,69.5645,70.892,33722840
2020-05-26,71.8635,72.05,70.6065,70.851,41212860
2020-05-22,69.8355,70.638,69.5915,70.521,26188160
2020-05-21,70.4,70.7745,69.6725,70.14,27703880
2020-05-20,69.479,70.521,69.3625,70.336,33107500
2020-05-19,69.3498,69.6,68.6742,68.6742,25612980
2020-05-18,68.0875,69.6163,67.7125,69.197,36479280
2020-05-15,67.5,68.724,66.95,68.6595,34154940
2020-05-14,66.751,67.871,66.1955,67.8065,32061540
2020-05-13,68.8525,69.2741,66.42,67.4665,36251700
2020-05-12,70.356,70.75,68.7385,68.787,27812000
2020-05-11,68.914,70.8265,68.8576,70.163,28242320
2020-05-08,69.1565,69.938,68.774,69.4185,27761360
2020-05-07,68.297,68.88,67.7635,68.628,27995180
2020-05-06,68.0845,68.556,67.3645,67.365,24308460
2020-05-05,66.896,68.697,66.873,67.5555,33030660
2020-05-04,65.4115,66.383,64.95,66.34,30080340
2020-05-01,66.425,67.6035,65.55,66.0305,41452780
2020-04-30,66.244,67.641,66.1245,67.433,53378120
2020-04-29,67.073,67.9995,66.267,67.074,75872600
2020-04-28,64.3965,64.4025,61.61,61.6835,59026180
2020-04-27,64.8,64.8075,63.45,63.794,32011260
2020-04-24,63.0585,64.02,62.4725,63.9655,32807880
2020-04-23,63.5775,64.6655,63.2835,63.8155,31324060
2020-04-22,62.277,64.2807,62.1,63.1605,41862800
2020-04-21,62.35,62.7135,60.4855,60.817,43060060
2020-04-20,63.55,64.08,63.0685,63.3305,33909760
2020-04-17,64.2425,64.7215,63.5615,64.1625,38980840
2020-04-16,63.705,63.95,62.131,63.1735,50361980
2020-04-15,62.2805,64.023,62.02,63.1235,33434060
2020-04-14,62.2545,64.1035,61.8465,63.4615,49407060
2020-04-13,60.459,61.0255,59.3799,60.878,34796560
2020-04-09,61.204,61.2785,59.8368,60.5725,43508420
2020-04-08,60.325,60.9535,59.408,60.514,39502700
2020-04-07,61.05,61.25,59.1115,59.3255,47746580
2020-04-06,56.9,59.733,56.547,59.346,53294460
2020-04-03,55.9508,56.177,53.9905,54.894,46268000
2020-04-02,54.913,56.343,54.82,56.042,39297620
2020-04-01,56.1,56.4845,54.8725,55.281,46883460
2020-03-31,57.365,58.7655,56.907,58.1405,49759660
2020-03-30,56.252,57.5815,54.824,57.341,51481220
2020-03-27,56.2835,57.5335,55.2955,55.5355,64169900
2020-03-26,55.59,58.4985,54.6765,58.0875,71475100
2020-03-25,56.3235,57.445,54.3005,55.1245,81630560
2020-03-24,55.1885,56.75,54.531,56.723,66889000
2020-03-23,53.066,53.566,50.6768,52.831,80882740
2020-03-20,56.786,57.1995,53.2745,53.616,72035000
2020-03-19,54.6525,57.8985,53.0054,55.7645,73022120
2020-03-18,52.8255,55.325,51.864,54.84,84668700
2020-03-17,54.6555,56.543,52.8005,55.99,77229780
2020-03-16,54.8,57.6133,53.722,54.2165,85047300
2020-03-13,58.95,60.988,55.8572,60.9865,74002500
2020-03-12,56.3,59.6935,55.665,55.7455,84534960
2020-03-11,62.485,63.048,59.8035,60.7705,52224580
2020-03-10,63.0,64.0575,60.9385,64.0195,52227460
2020-03-09,60.265,62.738,60.0,60.778,67307300
2020-03-06,63.853,65.311,63.0525,64.9205,53212560
2020-03-05,67.51,67.9455,65.255,65.952,51225760
2020-03-04,67.9615,69.4045,67.1555,69.326,38266300
2020-03-03,69.884,70.5075,66.6,67.0695,48046520
2020-03-02,67.5805,69.5435,66.341,69.4555,48629360
2020-02-28,63.875,67.057,63.55,66.9665,75812360
2020-02-27,67.9385,68.585,65.8585,65.9045,59566000
